,Date,TweetID,User,Tweet,Langue,Hashtags,ReplyCount,RetweetCount,LikeCount,Quotecount,Media,Source,coordinates,place
0,2023-03-07 23:58:33+00:00,1633255849551609856,MeepSquid,Part of me thinks the Side Order DLC is where we'll get the Octoling suit. Especially the Armor. I'm kinda waiting on that. #Splatoon3 #NintendoSwitch https://t.co/XmDlm4l3rK,en,"['Splatoon3', 'NintendoSwitch']",2,1,13,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fqp9igtakAAjFmf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fqp9igtakAAjFmf?format=jpg&name=large', altText=None)]",Nintendo Switch Share,,
1,2023-03-07 23:52:39+00:00,1633254364763521025,Objeckshun,"Today I was thinking about how much the sky fascinates me, and of course I tied it to gaming. So, with Mar10 on the way, which flying Mario power-up is your favorite",en,,0,0,0,0,,Twitter for Android,,
2,2023-03-07 23:49:46+00:00,1633253639283253248,ArsoPhoenix,Is something happening after MAR10 Day? https://t.co/uU1gfG0nsg,en,,0,0,0,0,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/Fqp7hrNXgAAEftg.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/Fqp7hrNXgAAEftg.mp4', contentType='video/mp4', bitrate=0)], altText='Anime Anna GIF')]",Twitter Web App,,
3,2023-03-07 23:49:07+00:00,1633253473348390913,MeepSquid,♥ @GS_standard #Splatoon3 #NintendoSwitch https://t.co/uQo0whUt4k,und,"['Splatoon3', 'NintendoSwitch']",1,1,8,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fqp7YOWaIAEqmiV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fqp7YOWaIAEqmiV?format=jpg&name=large', altText=None)]",Nintendo Switch Share,,
4,2023-03-07 23:46:36+00:00,1633252842566828033,CadillacxDillon,https://t.co/LzlglPICm8 Mario Party Night #mario #nintendo #marioparty #luigi #MAR10,en,"['mario', 'nintendo', 'marioparty', 'luigi', 'MAR10']",0,0,0,0,,Twitter Web App,,
5,2023-03-07 23:44:03+00:00,1633252198686810113,MeepSquid,♥ @ChaosSquishy #Splatoon3 #NintendoSwitch https://t.co/r24U0DBh3X,und,"['Splatoon3', 'NintendoSwitch']",0,2,6,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fqp6OBvaUAI4H40?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fqp6OBvaUAI4H40?format=jpg&name=large', altText=None)]",Nintendo Switch Share,,
6,2023-03-07 23:42:17+00:00,1633251756451799041,marioqacmdz,"@Adriana_Videla La UCR no tiene candidato a presidente y el PRO no tiene candidatos a gobernadores... Cada uno en su palmera tiene que sumar para que se vayan los K, el que no entienda eso que se vaya de la política...",es,,1,1,7,0,,Twitter for Android,,
7,2023-03-07 23:36:59+00:00,1633250422185144321,MeepSquid,♥ @sostre_anthony #Splatoon3 #NintendoSwitch https://t.co/hTs2038Z1U,und,"['Splatoon3', 'NintendoSwitch']",0,0,3,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fqp4mfzakAENoY-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fqp4mfzakAENoY-?format=jpg&name=large', altText=None)]",Nintendo Switch Share,,
8,2023-03-07 23:36:30+00:00,1633250298096668672,VGDAk,"Save all week with Video Game Depot's 
Mar10 Day Sale

Game On!
Video Game Depot https://t.co/WVqA61lcvo",en,,0,1,1,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fqp4VzTakAAX5M4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fqp4VzTakAAX5M4?format=jpg&name=large', altText=None)]",Twitter Web App,,
9,2023-03-07 23:35:41+00:00,1633250096300081154,PSapiains,@DescuentosRata #MartesBigotonRata ya tenia bigote natural pero me hice uno de #MAR10 animado @DescuentosRata https://t.co/KZVb7bGsGj,es,"['MartesBigotonRata', 'MAR10']",1,0,5,0,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/Fqp4TFVXgAAWpoL.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/Fqp4TFVXgAAWpoL.mp4', contentType='video/mp4', bitrate=0)], altText=None)]",Twitter for Android,,
10,2023-03-07 23:33:14+00:00,1633249478219120641,marioqacmdz,"@sandrusg Directamente no podés abrir la aplicación... Por ende no podés hacer transferencias, ni nada...",es,,1,0,1,0,,Twitter for Android,,
11,2023-03-07 23:31:56+00:00,1633249152795836417,DANYELMAR10,"Nakangiti ka na naman ngunit hindi na ako ang dahilan
ang ating dati, agad mong nalimutan naiwan akong mag-isa sa nakaraan",tl,,2,0,1,0,,Twitter Web App,,
12,2023-03-07 23:31:24+00:00,1633249014773862400,DANYELMAR10,Alam kong hindi na mababalikan ngunit nananatiling ikaw ang dahilan ng saya sa likod ng mga ngiti at pagtawa na hindi na makikita ngayong wala ka na,tl,,0,0,0,0,,Twitter Web App,,
13,2023-03-07 23:30:05+00:00,1633248686804283393,gunderfan,"I'm likely not gonna be here Friday, so here's my early artwork for #MAR10Day!! #Mario #MarioDay #Mar10 #MarioMario #NintendoMario #MarioNintendo #Nintendo #LuigiMario #NintendoLuigi #Luigi #NintendoLuigi #PrincessPeach #PrincessToadstool https://t.co/xNrzyxGsgp",en,"['MAR10Day', 'Mario', 'MarioDay', 'Mar10', 'MarioMario', 'NintendoMario', 'MarioNintendo', 'Nintendo', 'LuigiMario', 'NintendoLuigi', 'Luigi', 'NintendoLuigi', 'PrincessPeach', 'PrincessToadstool']",0,4,21,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fqp2OtKWAAAS6UA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fqp2OtKWAAAS6UA?format=jpg&name=large', altText=None)]",Twitter Web App,,
14,2023-03-07 23:18:31+00:00,1633245774275305479,CrystalWaltz_VT,I'll stream later on tonight. Gotta clear my head and prepare for this weeklong Mar10 Day celebration.,en,,0,1,1,0,,Twitter Web App,,
15,2023-03-07 23:16:51+00:00,1633245354471706624,JJimenezF,@DescuentosRata #MartesBigotonRata #MAR10 el gordito Milo representandonos! https://t.co/hkwdty7YlA,es,"['MartesBigotonRata', 'MAR10']",0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fqpz_mZWcAATlEm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fqpz_mZWcAATlEm?format=jpg&name=large', altText=None)]",Twitter for Android,,
16,2023-03-07 23:11:52+00:00,1633244102799028226,imthemarteen,"BEST BO5 IN HISTORY OF ESPORTSSSS
3:2 HMBL 
GGGGGGGGGGG https://t.co/BIKPmNN0pX",en,,15,2,135,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fqpy2ykWIAIx67R?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fqpy2ykWIAIx67R?format=jpg&name=large', altText=None)]",Twitter for Android,,
17,2023-03-07 23:06:29+00:00,1633242747493556224,nekomancer_eli,I’ll be celebrating Mario day (MAR10)by building a Mario Lego! So make sure to stop by and say ✨ LETSA-GO! ⭐️🍄,en,,1,1,12,1,,Twitter for iPhone,,
18,2023-03-07 23:01:24+00:00,1633241466884571136,Lokeefe9,@OnTheDownLoTho Gas up sonic gens 3ds race.,en,,0,0,0,0,,Twitter Web App,,
19,2023-03-07 22:58:43+00:00,1633240789852758016,toucharcade,"In today's SwitchArcade Round-Up:

- Nintendo releases Mar10 Day trailer
- New releases Little Witch Nobeta and Pronty
- Notable eShop deals including Temtem, Nobody Saves the World, Jellycar Worlds, and more

https://t.co/coHucMIPhA by @ShaunMusgrave",en,,0,1,4,0,,TouchArcade Web,,
20,2023-03-07 22:58:15+00:00,1633240673863229440,Nashoo99,@DescuentosRata #MartesBigotonRata  #MAR10 esperemos que Pedrito Pascal me bendiga con el premio https://t.co/Wn2QVvWwDh,es,"['MartesBigotonRata', 'MAR10']",0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FqpvutmX0AAGOI9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqpvutmX0AAGOI9?format=jpg&name=large', altText=None)]",Twitter for Android,,
