,Date,TweetID,User,Tweet,Langue,Hashtags,ReplyCount,RetweetCount,LikeCount,Quotecount,Media,Source,coordinates,place
0,2023-02-16 22:42:37+00:00,1626351370075795456,rowan_meredith,"anyone who ever says a bad word about selena gomez is going to hell, I don’t make the rules",en,,0,0,2,0,,Twitter for iPhone,,
1,2023-02-16 20:11:47+00:00,1626313410634981377,dykeabetes,@uhhmmily the fact that lisa was talking about selena gomez here is sooooo me coded like she’s so real,en,,0,0,30,0,,Twitter for iPhone,,
2,2023-02-16 18:47:04+00:00,1626292093823094784,cozynightslarry,"thinking very hard today about selena gomez, absolutely love her 🫶",en,,0,0,0,0,,Twitter for iPhone,,
3,2023-02-16 18:32:53+00:00,1626288522754662404,ZeldaMOMOe,"Finding out about Selena Gomez advocating for therapy in school for kids reminded me about my mental breakdown in 3rd grade to my sister about being overwhelmed.
Fuck everyone who says ""you're too young to be anxious/depressed"" - it can happen to anyone.",en,,6,5,51,0,,Twitter Web App,,
4,2023-02-16 17:43:39+00:00,1626276131921088513,nushhki,Everyone talks about one direction reunion but what about Selena Gomez and The Scene???,en,,0,1,1,0,,Twitter for iPhone,,
5,2023-02-16 17:27:28+00:00,1626272058643714048,_OverdozeOn808s,And I know that people feel how they feel about Selena Gomez but she’s a large part of why Only Murders in the Building is successful so suck it.,en,,0,0,2,0,,Twitter for iPhone,,
6,2023-02-16 17:10:18+00:00,1626267738783248384,GomezSource,Austin Butler talks about Selena Gomez https://t.co/4zzGYDZlfn,en,,22,421,3855,96,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1626267152822022145/pu/img/NbJLoP3BUW6ftQKt.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1626267152822022145/pu/vid/640x360/mogLJJs4R6EjaS5u.mp4?tag=12', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1626267152822022145/pu/vid/1280x720/olBlwoWG27b9si57.mp4?tag=12', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/1626267152822022145/pu/pl/0rsvCQ0O1zpE9n9_.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1626267152822022145/pu/vid/480x270/bsSDPNaBbtCfAOX5.mp4?tag=12', contentType='video/mp4', bitrate=256000)], duration=34.393, views=78353, altText=None)]",Twitter for iPhone,,
7,2023-02-16 16:30:54+00:00,1626257824325206017,monicazevallos,"Lets talk about Selena Gomez legs she is literally the hottest  
@selenagomez 

https://t.co/EL7Db5BpVo",en,,0,0,0,0,,Cubi.so,,
8,2023-02-16 10:04:21+00:00,1626160547598303237,chaoticsanya,What if SG3 has a song about Selena Gomez's situationships/relationships we had no clue about and she gets all cutesy about it... then what?🥹,en,,0,0,0,0,,Twitter Web App,,
9,2023-02-16 05:07:47+00:00,1626085912038854656,reputayt1on,dorathea is about selena gomez u cant tell me im wrong,en,,0,0,2,0,,Twitter for iPhone,,
